,user,playtime,user_url,post_date,helpfulness,review,recommend
0,bearer seek seek lest,65.4,https://steamcommunity.com/id/caralde/,"June 2, 2019",146,['let me be clear this port is absolutely abysmal if you don t want to go through the effort of fixing it which is fairly easy to be honest then do not buy this game moreover if you don t have a controller you can play this game with do not buy it it s not that keyboard controls are bad but if you don t have a controller plugged in the game checks for one every second frame not an exaggeration causing terrible terrible stuttering if you don t have a controller xbone etc then there is absolutely no way to fix this i ll start by going over how to fix this mess of a port there are only a few things you ll need to do but they ll turn this game from an unplayable mess to a great experience first download and install the console content patch mod following the readme s directions this is needed to ensure that everything else works and it also gives you a few nice cosmetics and accessories let me emphasize this you must do this first installing mods in any other order will still work but in order to gain access to console exclusive dlc you have to install this first next you ll want to install the leviathan s tear s mod which fixes the rain sprite w o this mod rain looks like your computer is having a stroke and there are some required levels where rain is abundant this part gets its own paragraph because it ll be where you get the game to run above consistently after doing the above steps download the tool and run that before you start the game in order to use it properly you ll need to give it access to which is actually the main game s file generally found in or then click make backup and unlock framerate followed by apply after this point your game should be running at a constant fps but if it s not there are some alternatives you can either try using the same tool s unlock framerate and for failure of that use the final fantasy fixer be warned though the fixer does incur longer load times last step now and this is important turn steam cloud sync off for this game if it s on you ll crash every minutes autosave mitigates the saving issue but crashing every minutes just gets annoying after a while all that being said is the game actually worth going to all this effort for in my opinion it definitely is sure the story s premise isn t the best but i d argue that while the ideas are fairly poor the execution is actually very well done serah and noel are fairly likable characters at the start and they really grew on me as i played through the game without spoiling too much liam o brien does a fantastic job voicing the villain as per usual and laura bailey is spot on as serah fixes everything did wrong giving the player a good deal of freedom in exploring maps that are actually maps instead of hallway schematics while also fixing the tedious nature of combat through a number of means namely through actual sidequests that are present throughout the whole game an interesting monster system where the third member of your party is a beast you ve tamed and subjugated and yes the monsters are significantly more varied than in trust me and many diverse and beautiful environments you can also explore the same environments at different times and i m not talking day night cycles here for example academia in af af is years and also a spoiler for so i won t say what it stands for is a paradise while in an alternate timeline academia af is overrun by cie th abominations combat is great and the game s difficulty is just high enough to prevent auto battle to win while also ensuring you never have to grind too much is perfect not at all like i said earlier the story is very flawed and some story twists are very predictable even so the game itself did a great job of keeping me interested in the world and its characters while also never getting repetitive and bland like did overall i d give it an i d have given it a but the sheer amount of research i had to do in order to get it running was obscene the guide above should circumvent that here is the link for the game s mod directory you ll find everything i mentioned in the guide above and more extra monsters outfits etc '],Recommended
1,theLittleCroissant,17.7,https://steamcommunity.com/id/LittleCwoissant/,"March 13, 2024",144,['alright after hours of searching the web i was able to fix of the main problems that spawned the most reviews in this game you will need to download a mod because the game is only using of ram on your computer it will keep crashing until you download the mod go to program steam steamapps common final fantasy that is where you will find the file after you download the file you will have to open it then go to that file click it then it should install the mod into your game i finished doing this can it has been running without any if you have done the mod method and it still crashes disable steam cloud in your game s settings by going to it s properties i tried this method first however it was still crashing so that s when i tried the mod and that s what permanently fixed my issues this method is just in if the sound in your headphones is constantly buzzing just go to your control panel sound whatever audio device you re using properties advanced enhanced audio uncheck box down at the very bottom can you find all of this information yourself yes why am i posting it in this review because like i said it took me hours to find and input all of this into my game and hopefully this will save players some time should we have to download mods and reset some settings in order to play ported games no but if you spent on a game you deserve to play it this game is one of my favorites from the character designs to the soundtrack just a great game and i like anything to do with time travel so this game has everything i like also in english jason marsden voices noel he also voices haku spirited away max goof a goofy movie thackery binx hocus pocus and kovu lion king simba s pride how can i not get this game i love the work square enix put into it and jason marsden s work too '],Recommended
2,Neo,69.5,https://steamcommunity.com/id/YorHAGestalt/,"October 27, 2020",230,['if you want to experience final fantasy in the best way possible please click these two links to enhance the experience otherwise it ll be hampered by this game s abominable pc port kupo click this and here it s still unacceptable for the publisher to not put more care and effort into the port but these will mitigate and improve your experience kupo nowonto the game kupoeven though this is a sequel to ffxiii you don t need to play the first game to understand the narrative except being oblivious to the context of certain plot elements to the story kupo however the game recaps and reminisces on all the events in the previous game but if you have ocd then play the games in order kupo the story is convoluted disheveled and tortuous and it s primarily because the game s story revolves around time travel kupo and given its ignominious reputation for how contrived of a plot device it is this game will confuse you about all the concomitant inconsistencies of the paradoxes and its effects on the new repaired timelines of each location kupo i don t recommend having a critical mind when analyzing the story kupo it s much easier to enjoy the narrative that way because noel and caius are such great sympathetic characters sharing a lot of heartfelt moments kupo the other characters aren t terrible but they re bland or underutilized which includes serah one of main protagonists of this game kupo she s not annoying but she s rather uninteresting and stagnant in terms of character development kupo though i must say mog is the cute and loveable kupo i do appreciate how the game s narrative establishes rules and consequences for fixing the timeline so it s not a travesty in terms of progression kupo this game improves on almost every aspect of the original game kupo the maps are more vast non linear and have multiple routes to explore for fragments quest items encounters with special enemies collecting spheres etc kupo you only control noel and serah which means you don t have to exercise your muscle memory by switching between multiple characters like you do in the first game that s subjective though i don t mind how either game handles their characters kupo eidolons are completely absent and instead of having a third character to fight alongside you this game introduces monsters that you can tame by collecting their crystals by defeating them enough times kupo the paradigm shifts function exactly the same as the first game so you ll be comfortable to transition from the first game to this one kupo for newcomers it s a battle system that uses atb active time battle for different battle modes commando focused on attacks kuporavager focused on magic kuposentinel focused on defense kupomedic focused on healing vitality kuposaboteur focused on inflicting negative status ailments kuposynergist focused on inflicting positive status ailments kupoyou can customize roles for each mode to suit your playstyle with the monster that s built for one specific role and upgrade them with the crystogen points for noel and serah and monster materials for monsters kupo as the name implies you shift being paradigms for the optimal battle strategy kupo each mode has different unique abilities that you need to take advantage of when encountering and staggering enemies especially the very difficult ones kupo it s a bit confusing at first but once you understand the mechanics it s very entertaining and enjoyable kupo the gameplay is very solid kupo there are puzzles in this game whenever you enter sporadic temporal rifts to resolve anomalies of a paradox kupo they re harmless except the clock puzzle but they re entertaining to figure out the solution kupo the graphics are gorgeous the bosses are very challenging and agonizing sometimes the locations are breathtaking and creative the live triggers which are simply choose your dialogue to influence the story are cool and the seldom qte s are actually interesting kupo not only do the qte s change the scenery depending on your choice but they reward you with bonus points for perfecting them kupo and lastly kupo mother of vahalla the music is superb kupo everything about it is masterful and varied kupo this is easily the best soundtrack in any final fantasy game kupo it s absolutely fantastic and godlike kupo i love it kupo this game is great despite the messy story and if you download those patches it ll make experiencing this underrated gem all the more worth it kupowhy am i saying kupo in every sentence you may ask kupo i don t know kupo'],Recommended
3,Lycaon,71.0,https://steamcommunity.com/profiles/76561198072033624/,"January 10, 2015",183,['after complaints of ffxiii s too linear gameplay seems to be the answer to everyone s cries in the beginning you still get some of the run to the yellow pointer moments but you can also take on various side quests from npcs to either find something or kill a monster and once the game gets going depending on what gates you open you can have your choice of next destination and you can take a break on minigame quizzes chocobo racing or slot machines if you feel inclined to do so the one complaint i personally have is compared to ffxiii s story personally i loved it falls a bit short the time travel trope makes it feel a bit clich and i found noel to be quite boring in terms of personality and back story personal opinion but even if the story isn t your thing the game is a lot of fun in combat the atb gauge and paradigm shifts are back so that will feel familiar but with only two protagonists the third slot is filled by monsters you tame with all the tameable monsters out there you can really customize your party to your needs and you have to level your monsters up as well i was a bit annoyed that neither serah or noel learned faith bravery haste as synergists so you have to rely completely on monsters to buff you on that front as for the pc port the keyboard can be a little awkward with the more complicated constellation puzzles when the camera gets a little wonky but it s still possible if not frustrating i ve also had the game just close on me once or twice guessing my laptop was overworked when playing this game for an extended amount of time other than that i have no issues note the dlc doesn t unlock until you beat the story once basically the game is a load of fun even if the story fell short of expectations the story isn t bad per se but it wasn t great either that said the gameplay makes up for it still working on those final fragments '],Recommended
4,iamOmgPhil,1.0,https://steamcommunity.com/id/iamOmgPhil/,"March 18, 2020",123,['so the game is awesome and the story is great but that being said there is a few things that you need to do to get the game up and running download gb patch patch steamapps common final fantasy right click on exe above and go to properties turn on windows cap turn off full screen opt run as admin disable cloud savesonce that is done enjoy the game '],Recommended
5,Darkrai,49.3,https://steamcommunity.com/id/sanji999/,"March 19, 2023",80,['this the one trust meessential but easy patches took me minutes works perfectly on my laptop'],Recommended
6,Unhealth,27.9,https://steamcommunity.com/profiles/76561198297251225/,"April 17, 2022",63,['disable cloud save on steam and this game is great crashes occur because of poor cloud functionality only i experienced zero crashes after disabling '],Recommended
7,Andrehoodcool,22.1,https://steamcommunity.com/id/andreharman/,"May 8, 2020",63,['after install the patch fix from modder and this tutoriali think the game now on good state now and for square enix i hope that if you release listen to community on steam why modder is still better fix your game better on your company i think you had to evaluate your pc port team but overall the game is good but for port no if no modd'],Recommended
8,Cybrid57,6.9,https://steamcommunity.com/profiles/76561198168568800/,"December 9, 2019",73,['so originally i said i wouldnt recommend this game because of call the crashes but i ve finally found a fix that i ve had no problems with game is running flawlessly so i m going to put the link here to fix it for realit will bring you to a page that has attachments but you really should only need the first one the application and go to your install location so most likely it will beprogram files fantasy the file called its the only one it will let you select anywaypress the button to make the changes automatically once selectedturn off cloud save sync on steam for the game i turned off steam overlay as well thats all you should have to do but i was also told by someone to put a file called located in the folder just make a copy of it if the other stuff didnt work and put it in the main folder for all i did and it runs perfectly no crashes it turns out whenever the game uses of ram up it crashes so you end up reloading this unlocks that and i ve never had a problem since i couldnt get into the first battle with serrah without crashing up until now hopefully that works it worked for me anyway and ive heard alot of crap that i even tried and it didnt if you comment and would like to to send you the file i will through email or something i plan on keeping itgl hf'],Recommended
9,FUNNYBEANGAME,44.6,https://steamcommunity.com/id/WAHOOGAMER/,"December 24, 2014",136,['omfg this game pros killer soundtrack only ost i ever listen to outside of the game likeable characters imo so don t hold me too it storyline refined battle system that works a little better than the first game the option to save anywhere in the game is a huge improvement from the first cons you need a good pc for decent framerates in boss battles or they re gonna be a pain story can be hard to get into if you haven t played the first game but there is a beginner s primer in the main menu so you can get up to speed port isn t the best out there still decent thoughlove this game still playing it so happy it was on sale too for winter sale '],Recommended
